47493
#term	doc freq	idx
1.3970	1	607
1.3994	1	608
1.4	112	609
1.40	23	610
1.4000	1	611
1.402	1	612
1.41	2	613
1.42	8	614
1.43	13	615
1.431	1	616
1.435	2	617
1.44	8	618
1.441	2	619
1.45	22	620
1.454	1	621
1.46	6	622
1.465	1	623
1.47	7	624
1.48	9	625
1.485	1	626
1.49	5	627
1.493	2	628
1.5	225	629
1.50	38	630
1.504	1	631
1.5059	1	632
1.51	7	633
1.52	5	634
1.53	19	635
1.535	1	636
1.54	5	637
1.545	3	638
1.549	1	639
1.55	14	640
1.5570	1	641
1.56	7	642
1.562	1	643
1.57	4	644
1.58	12	645
1.583	1	646
1.589	1	647
1.59	9	648
1.5p	1	649
1.6	99	650
1.60	19	651
1.600	1	652
1.61	6	653
1.617	1	654
1.62	2	655
1.621	5	656
1.625	17	657
1.63	4	658
1.634	4	659
1.638	1	660
1.64	7	661
1.6477	1	662
1.65	11	663
1.650	2	664
1.653	1	665
1.66	4	666
1.67	9	667
1.68	14	668
1.684	1	669
1.69	7	670
1.695	1	671
1.7	69	672
1.70	19	673
1.705	1	674
1.71	10	675
1.712	1	676
1.716	1	677
1.72	4	678
1.73	4	679
1.74	14	680
1.749	1	681
1.75	44	682
1.750	2	683
1.76	3	684
1.77	1	685
1.78	6	686
1.79	3	687
1.8	111	688
1.80	18	689
1.81	2	690
1.82	3	691
1.828	1	692
1.83	4	693
1.84	5	694
1.85	15	695
1.85619	6	696
1.857	3	697
1.86	2	698
1.87	12	699
1.870	1	700
1.875	23	701
1.88	5	702
1.887	1	703
1.89	1	704
1.9	59	705
1.90	14	706
1.91	2	707
1.93	5	708
1.931	4	709
1.94	2	710
1.95	13	711
1.96	2	712
1.97	5	713
1.98	15	714
1.99	9	715
10	1223	716
10,000	113	717
10,035.60	2	718
10,139	1	719
10,289.98	2	720
10,297	1	721
10,361	2	722
10,400	1	723
10,487	1	724
10,492	1	725
10,500	1	726
10,591.85	2	727
10,600	3	728
10,700	2	729
10,703.19	2	730
10,840	1	731
10,845	1	732
10,857.35	1	733
10,883.78	1	734
10.0	5	735
10.00	1	736
10.05	2	737
10.06	2	738
10.1	10	739
10.10	1	740
10.12	3	741
10.125	1	742
10.14	1	743
10.15	3	744
10.16	2	745
10.17	1	746
10.2	39	747
10.20	1	748
10.22	1	749
10.23	2	750
10.24	7	751
10.25	4	752
10.27	3	753
10.3	31	754
10.30	4	755
10.32	1	756
10.33	1	757
10.35	4	758
10.375	3	759
10.39	2	760
10.3p	2	761
10.4	25	762
10.40	11	763
10.42	1	764
10.44	3	765
10.48	2	766
10.5	62	767
10.50	6	768
10.54	1	769
10.55	4	770
10.5p	1	771
10.6	7	772
10.61	2	773
10.625	3	774
10.63	2	775
10.64	1	776
10.65	1	777
10.66	1	778
10.68	2	779
10.6875	1	780
10.69	2	781
10.7	14	782
10.70	3	783
10.74	1	784
10.77	2	785
10.79	1	786
10.8	23	787
10.81	1	788
10.85	1	789
10.87	1	790
10.88	2	791
10.898	1	792
10.9	5	793
10.92	1	794
10.93	1	795
10.97	1	796
10.98	3	797
10.99	1	798
100	599	799
100,000	137	800
100.0	1	801
100.1	1	802
100.3	2	803
100.375	3	804
100.4	2	805
100.5	3	806
100.7	1	807
100.875	1	808
100.9	2	809
100.964	1	810
1000	10	811
10000	5	812
1006.362	1	813
1007.731	1	814
1009	1	815
100kg	2	816
100s	1	817
100th	2	818
101	12	819
101.1	1	820
101.125	2	821
101.36	1	822
101.5	2	823
101.50	1	824
101.6	2	825
1011	1	826
1016.241	1	827
101st	1	828
102	25	829
102,000	1	830
102,630	1	831
102.3	1	832
102.5	1	833
102.6	1	834
102.75	3	835
102.8	2	836
102.9	1	837
1025	1	838
103	20	839
103.2	1	840
103.5	2	841
103.50	1	842
103.69	1	843
103.8	1	844
1030	4	845
1033	1	846
1039	1	847
1039.168	1	848
103p	1	849
104	13	850
104,000	2	851
104,012	1	852
104,115	2	853
104.1	1	854
104.2	1	855
104.2p	2	856
104.30	1	857
104.6	1	858
104.7	1	859
104.8	1	860
104.9	2	861
1040	4	862
1045	3	863
104mm	1	864
105	41	865
105,000	1	866
105.0	1	867
105.00	1	868
105.05	2	869
105.3	1	870
105.66	1	871
105.75	1	872
105.780	1	873
105.8	2	874
1052	2	875
1054	1	876
1056	1	877
105th	4	878
106	20	879
106.00	1	880
106.2	1	881
106.3	1	882
106.47	1	883
106.5	1	884
106.6	1	885
106.7	4	886
107	13	887
107,000	1	888
107.125	1	889
107.17	1	890
107.21	2	891
107.25	1	892
107.3	1	893
107.5	1	894
107.625	1	895
107.66	1	896
107.7	2	897
108	19	898
108,533	1	899
108.125	1	900
108.2	1	901
108.3	1	902
108.4	1	903
108.5	1	904
108.50	1	905
108.57	1	906
108.9	1	907
109	18	908
109.1	1	909
109.15	1	910
109.2	1	911
109.5	1	912
109.50	1	913
109.57	1	914
109.6	2	915
10k	1	916
10mm	1	917
10p	6	918
10s	1	919
10th	26	920
11	466	921
11,000	2	922
11,072	1	923
11,210.77	1	924
11,254	1	925
11,388.83	1	926
11,416,000	1	927
11,500	2	928
11,900	1	929
11.0	5	930
11.05	1	931
11.07	1	932
11.1	20	933
11.12	2	934
11.13	3	935
11.15	1	936
11.17	2	937
11.18	1	938
11.19	1	939
11.2	12	940
11.20	2	941
11.23	1	942
11.25	2	943
11.28	1	944
11.281	1	945
11.3	12	946
11.30	2	947
11.31	2	948
11.32	2	949
11.36	1	950
11.375	2	951
11.4	17	952
11.40	1	953
11.42	2	954
11.45	2	955
11.48	1	956
11.5	34	957
11.50	8	958
11.51	2	959
11.57	1	960
11.59	2	961
11.6	9	962
11.60	1	963
11.63	1	964
11.69	1	965
11.7	9	966
11.70	6	967
11.74	1	968
11.75	3	969
11.77	2	970
11.79	1	971
11.790	1	972
11.7p	1	973
11.8	21	974
11.80	1	975
11.805	1	976
11.82	2	977
11.83	1	978
11.84	1	979
11.85	1	980
11.86	2	981
11.875	1	982
11.9	5	983
11.90	2	984
11.95	1	985
110	76	986
110,000	13	987
110.4	2	988
110.6	3	989
110.66	2	990
110.7	5	991
110.85	1	992
1100	9	993
1103	1	994
1104	1	995
1105	1	996
1109	1	997
110p	1	998
111	16	999
111.1	2	1000
111.125	2	1001
111.3	2	1002
111.35	1	1003
111.482	1	1004
111.5	1	1005
111.7	1	1006
1115	7	1007
1115p	2	1008
1116	1	1009
112	30	1010
112,500	1	1011
112.125	1	1012
112.2	3	1013
112.3	1	1014
112.5	2	1015
112.7	1	1016
112.9	2	1017
1120	2	1018
1127	1	1019
113	10	1020
113,000	2	1021
113.2	1	1022
113.375	1	1023
113.4	2	1024
113.5	5	1025
113.55	1	1026
113.7	1	1027
113.8	1	1028
113.875	1	1029
1130	10	1030
1131p	2	1031
1135	1	1032
114	19	1033
114,000	1	1034
114.3	2	1035
114.4	1	1036
114.5	1	1037
114.55	1	1038
114.6	1	1039
114.67	1	1040
114.7	1	1041
114.9	1	1042
1140	2	1043
1141	1	1044
1144	1	1045
1144p	1	1046
1145	5	1047
1145gmt	1	1048
115	42	1049
115,000	6	1050
115.13	2	1051
115.37	1	1052
115.4	1	1053
115.5	3	1054
115.8	1	1055
115.9	1	1056
1150	3	1057
1150c	1	1058
1152	1	1059
1154	1	1060
1159	1	1061
116	18	1062
116,000	3	1063
116,616	1	1064
116.2	1	1065
116.3	3	1066
116.4	1	1067
116.42	1	1068
116.8	1	1069
116.94	2	1070
117	17	1071
117,293	1	1072
117.2	2	1073
117.3	1	1074
117.4	1	1075
1174.5p	1	1076
118	13	1077
118.1	2	1078
118.2	1	1079
118.5	3	1080
118.75	2	1081
118.8	1	1082
1180s	1	1083
119	7	1084
119,025	1	1085
119,123	1	1086
119.1	1	1087
119.22	2	1088
119.4	1	1089
119.5	4	1090
119.6	1	1091
119.7	1	1092
11g	1	1093
11p	6	1094
11th	27	1095
12	633	1096
12,000	54	1097
12,087	1	1098
12,197	2	1099
12,300	1	1100
12,489.30	1	1101
12,500	4	1102
12,600	3	1103
12,650	2	1104
12,800	1	1105
12,840,000	1	1106
12,867	1	1107
12,904	1	1108
12,933.98	1	1109
12.0	12	1110
12.00	1	1111
12.01	1	1112
12.02	2	1113
12.04	1	1114
12.06	2	1115
12.1	17	1116
12.2	10	1117
12.22	1	1118
12.24	4	1119
12.25	1	1120
12.26	3	1121
12.27	2	1122
12.3	14	1123
12.30	4	1124
12.338	1	1125
12.37	1	1126
12.395	1	1127
12.4	18	1128
12.40	3	1129
12.49	2	1130
12.5	89	1131
12.50	9	1132
12.5p	2	1133
12.6	11	1134
12.625	1	1135
12.64	1	1136
12.6p	1	1137
12.7	13	1138
12.72	4	1139
12.75	2	1140
12.8	14	1141
12.82	1	1142
12.85	5	1143
12.89	2	1144
12.9	12	1145
12.90	1	1146
12.92	1	1147
12.95	1	1148
12.96	1	1149
12.98	1	1150
120	126	1151
120,00	1	1152
120,000	30	1153
120.2	4	1154
120.3	1	1155
120.4	1	1156
120.6	3	1157
120.7	6	1158
120.8	2	1159
120.9	2	1160
1200	4	1161
1203	1	1162
1206	1	1163
121	12	1164
121.3	1	1165
121.4	1	1166
121.6	1	1167
121.625	1	1168
121.64	1	1169
121.7	1	1170
121.9	1	1171
1210	3	1172
1218	1	1173
122	12	1174
122,600	2	1175
122.2	1	1176
122.3	2	1177
122.4	1	1178
122.5	1	1179
122.50	2	1180
122.6	2	1181
122.8	2	1182
1220	1	1183
1226	1	1184
1226.5p	1	1185
123	24	1186
123.1	2	1187
123.3	1	1188
123.4	1	1189
123.5	1	1190
123.50	2	1191
123.7	1	1192
123.875	1	1193
1230	4	1194
1230.831	1	1195
124	15	1196
124,000	1	1197
124,550	1	1198
124.0	1	1199
124.19	1	1200
124.22	1	1201
124.6	2	1202
124.69	1	1203
124.78	1	1204
1240	1	1205
1243	5	1206
125	44	1207
125,000	7	1208
125.1	2	1209
125.2	1	1210
125.4	1	1211
125.5	3	1212
125.56	2	1213
1250	1	1214
1253	1	1215
126	16	1216
126,500	1	1217
126.1	1	1218
126.4	1	1219
126.54	1	1220
126.6	1	1221
1261.81	1	1222
127	19	1223
127,000	1	1224
127,200	1	1225
127,870	2	1226
127.0	1	1227
127.10	1	1228
127.2	1	1229
127.3	1	1230
127.5	1	1231
127.7	1	1232
1275	1	1233
1279	2	1234
128	33	1235
128,000	1	1236
128.5	2	1237
128.8	2	1238
128.875	2	1239
128.9	1	1240
1283	2	1241
129	17	1242
129.2	1	1243
129.25	1	1244
129.3	1	1245
129.375	1	1246
129.4	2	1247
129.5	2	1248
1290p	1	1249
129th	1	1250
12p	1	1251
12th	12	1252
13	328	1253
13,000	23	1254
13,106.32	2	1255
13,200	1	1256
13,238.23	1	1257
13,306.77	2	1258
13,309	1	1259
13,400	1	1260
13,411.33	1	1261
13,444.85	1	1262
13,460	1	1263
13,480	1	1264
13,485	1	1265
13,500	3	1266
13,520.26	1	1267
13,522	1	1268
13,527	1	1269
13,590,795	1	1270
13,597.4	2	1271
13,696.7	2	1272
13,789.9	1	1273
13,800	1	1274
13,865	1	1275
13,900	1	1276
13,937.47	1	1277
13.0	4	1278
13.05	2	1279
13.09	1	1280
13.1	13	1281
13.10	1	1282
13.15	3	1283
13.2	9	1284
13.23	2	1285
13.24	3	1286
13.25	3	1287
13.26	1	1288
13.2p	2	1289
13.3	16	1290
13.34	1	1291
13.35	1	1292
13.371	1	1293
13.375	1	1294
13.39	1	1295
13.4	17	1296
13.40	2	1297
13.45	1	1298
13.49	1	1299
13.5	33	1300
13.50	5	1301
13.5p	1	1302
13.6	19	1303
13.60	1	1304
13.625	3	1305
13.65	2	1306
13.68	1	1307
13.7	16	1308
13.71	1	1309
13.72	1	1310
13.74	1	1311
13.75	4	1312
13.8	10	1313
13.80	1	1314
13.83	1	1315
13.88	1	1316
13.9	9	1317
13.90	2	1318
13.91	1	1319
13.911	1	1320
13.93	1	1321
13.94	1	1322
13.97	1	1323
130	67	1324
130,000	22	1325
130,157	1	1326
130.0	1	1327
130.375	1	1328
130.4	1	1329
130.5	1	1330
130.50	2	1331
1300	21	1332
1301.322	1	1333
1302	1	1334
13039.03	1	1335
1306	1	1336
1308	2	1337
130p	1	1338
130th	1	1339
131	15	1340
131,000	1	1341
131,995	1	1342
131.3	2	1343
131.375	2	1344
131.4	1	1345
131.9	2	1346
1310	1	1347
1315	3	1348
132	20	1349
132.375	1	1350
132.5	2	1351
132.7	1	1352
132.8	1	1353
1320	2	1354
133	15	1355
133,700	2	1356
133,708	1	1357
133.10	1	1358
133.2	1	1359
133.24	2	1360
133.4	1	1361
133.6	1	1362
133.7	3	1363
133.75	2	1364
133.8	1	1365
133.9	2	1366
1330	6	1367
134	15	1368
134,000	2	1369
134,110	1	1370
134,500	1	1371
134.25	1	1372
134.3	1	1373
134.43	1	1374
134.6	1	1375
134.75	1	1376
135	36	1377
135,000	7	1378
135,907	1	1379
135.14	1	1380
135.26	1	1381
135.3	1	1382
135.375	1	1383
135.5	1	1384
135.75	1	1385
1350	2	1386
1357p	2	1387
135p	2	1388
136	10	1389
136,000	1	1390
136.375	2	1391
136.4	1	1392
136.6	1	1393
1360p	1	1394
1368	2	1395
137	9	1396
137,000	1	1397
137.1	4	1398
137.857	2	1399
138	6	1400
138,000	1	1401
138.0	1	1402
138.2	1	1403
138.3	1	1404
138.4	1	1405
138.47	1	1406
138.83	1	1407
138.875	1	1408
139	3	1409
139,000	2	1410
139,900	2	1411
139,950	2	1412
139.0	1	1413
139.1	1	1414
139.10	1	1415
139.45	1	1416
139.50	2	1417
13p	8	1418
13th	2	1419
14	480	1420
14,000	27	1421
14,010,647	1	1422
14,112.55	1	1423
14,225	1	1424
14,282.2	2	1425
14,300	2	1426
14,376.34	2	1427
14,545	1	1428
14,700	1	1429
14,722	1	1430
14,800	3	1431
14,828	1	1432
14,867.27	1	1433
14,920.4	1	1434
14,967.99	1	1435
14.0	5	1436
14.00	3	1437
14.02	1	1438
14.05p	1	1439
14.1	11	1440
14.15	1	1441
14.2	18	1442
14.20	1	1443
14.24	1	1444
14.25	7	1445
14.3	18	1446
14.33	1	1447
14.35	1	1448
14.4	6	1449
14.45	1	1450
14.48	1	1451
14.5	27	1452
14.50	1	1453
14.5p	3	1454
14.6	8	1455
14.7	29	1456
14.75	4	1457
14.8	33	1458
14.80	2	1459
14.81	1	1460
14.82	1	1461
14.84	2	1462
14.85	1	1463
14.875	5	1464
14.89	1	1465
14.9	7	1466
14.90	2	1467
14.94	1	1468
14.95	1	1469
14.97	1	1470
14.98	3	1471
14.9p	1	1472
140	33	1473
140,000	13	1474
140.1	4	1475
140.10	2	1476
140.11	1	1477
140.5	2	1478
140.6	2	1479
140.625	1	1480
140.95	1	1481
1400	6	1482
141	10	1483
141,000	1	1484
1412	2	1485
1415	5	1486
141p	1	1487
142	10	1488
142,000	1	1489
142,800	1	1490
142.1	1	1491
142.64	1	1492
142.71	1	1493
142.8	4	1494
142.90	1	1495
1421	37	1496
142p	1	1497
143	12	1498
143,000	1	1499
143.3	1	1500
143.4	1	1501
143.53	1	1502
143.8	2	1503
1430	7	1504
1432.9	1	1505
1435	1	1506
144	17	1507
144,000	1	1508
144,180	1	1509
144,600	2	1510
144.3	1	1511
144.50	2	1512
144.57	1	1513
144.6	2	1514
144.78	1	1515
144.875	1	1516
1440	2	1517
1441	1	1518
1445	2	1519
145	22	1520
145,000	2	1521
145,825	1	1522
145,861	1	1523
145.2	1	1524
145.30	1	1525
1450	1	1526
1453	1	1527
1459.5	1	1528
146	12	1529
146,000	5	1530
146.00	1	1531
146.5	3	1532
147	8	1533
147,000	1	1534
147.0	3	1535
147.2	1	1536
147.50	1	1537
147.70	1	1538
148	16	1539
148,000	1	1540
148,827	1	1541
148.1	1	1542
148.2	1	1543
148.3	1	1544
148.5	1	1545
148.7	3	1546
149	11	1547
149,000	1	1548
149.37	1	1549
149.6	1	1550
149.9	1	1551
14p	1	1552
14th	11	1553
15	738	1554
15,000	37	1555
15,078.7	4	1556
15,154.36	1	1557
15,284	1	1558
15,306	1	1559
15,700	3	1560
15,720	1	1561
15,800	4	1562
15,825	1	1563
15,846.7	2	1564
15,900	1	1565
15.0	3	1566
15.00	1	1567
15.03	2	1568
15.05	1	1569
15.06	2	1570
15.1	19	1571
15.13	1	1572
15.16	2	1573
15.18	1	1574
15.19	2	1575
15.2	14	1576
15.20	4	1577
15.22	2	1578
15.25	4	1579
15.3	2	1580
15.31	1	1581
15.35	1	1582
15.36	1	1583
15.375	1	1584
15.4	16	1585
15.46	4	1586
15.4p	1	1587
15.5	22	1588
15.50	7	1589
15.54	2	1590
15.57	1	1591
15.58	1	1592
15.5mm	1	1593
15.5p	1	1594
15.6	4	1595
15.61	1	1596
15.625	3	1597
15.63	1	1598
15.7	7	1599
15.70	1	1600
15.75	1	1601
15.8	17	1602
15.80	1	1603
15.85	2	1604
15.875	2	1605
15.8p	1	1606
15.9	10	1607
15.91	1	1608
15.93	1	1609
15.94	2	1610
15.95	1	1611
15.99	1	1612
150	290	1613
150,000	47	1614
150.3	1	1615
150.4	9	1616
150.5	1	1617
150.6	1	1618
150.73	1	1619
150.75	1	1620
150.8	1	1621
150.87	1	1622
150.96	1	1623
1500	4	1624
150p	1	1625
151	8	1626
151,000	1	1627
151.07	1	1628
151.2	5	1629
151.20	1	1630
151.6	3	1631
151.625	2	1632
151.7	3	1633
151.75	2	1634
151.9	2	1635
152	8	1636
152.03	1	1637
152.4	1	1638
152.5	1	1639
152.75	1	1640
152.875	1	1641
152.9	1	1642
1520	1	1643
153	10	1644
153,393	1	1645
153,660	1	1646
153,796	1	1647
1534	1	1648
1539	1	1649
154	17	1650
154.3	1	1651
154.5	1	1652
154.50	1	1653
154.6	1	1654
154.7	2	1655
154.70	2	1656
154.8	1	1657
154.9	1	1658
1543	1	1659
